DAY,AMOUNT
2323,4538
2324,17
2325,0
2326,4648
2327,416
2328,3
2329,0
2330,27
2331,4
2332,32
2333,719
2334,746
2335,5580
2336,5960
2337,112
2338,107
2339,10
2340,2
2341,2605
2342,312
2343,141
2344,12912
2345,127
2346,515
2347,23393
2348,13
2349,465
2350,6062
2351,4
2352,33
2353,45
2354,5735
2355,11
2356,43
2357,48
2358,15
2359,14
2360,17
2361,1035
2362,105
2363,74
2364,4794
2365,4343
2366,4543
2367,5
2368,11
2369,18
2370,0
2371,0
2372,26
2373,0
2374,6
2375,12
2376,0
2377,0
2378,3
2379,23
2380,0
2381,0
2382,123
2383,1994
2384,0
2385,4
2386,2
2387,0
2388,0
2389,0
2390,1477
2391,24
2392,293
2393,375
2394,10237
2395,789
2396,238
2397,4357
2398,568
2399,4181
2400,36
2401,124
2402,275
2403,398
2404,97
2405,3778
2406,541
2407,538
2408,251
2409,12
2410,162
2411,38
2412,43
2413,44
2414,21
2415,40
2416,13
2417,45
2418,91
2419,217
2420,374
2421,119
2422,0
2423,363
2424,349
2425,1384
2426,0
2427,46
2428,259
2429,1335
2430,12
2431,200
2432,92
2433,178
2434,27
2435,6
2436,28
2437,2
2438,45
2439,5800
2440,96
2441,24
2442,158
2443,1601
2444,239
2445,599
2446,2533
2447,27
2448,0
2449,10
2450,42
2451,7
2452,12
2453,0
2454,0
2455,0
2456,0
2457,6
2458,0
2459,9
2460,0
2461,0
2462,0
2463,0
2464,0
2465,3
2466,3
2467,273
2468,2
2469,22
2470,37
2471,52
2472,0
2473,0
2474,5
2475,10
2476,3
2477,12
2478,50
2479,0
2480,0
2481,94
2482,27
2483,19
2484,0
2485,2
2486,0
2487,0
2488,6
2489,0
2490,0
2491,0
2492,0
2493,3
2494,239452
2495,4717
2496,462
2497,107
2498,4
2499,2
2500,32
2501,1083
2502,1363
2503,0
2504,626
2505,0
2506,0
2507,426
2508,671
2509,0
2510,2
2511,0
2512,0
2513,0
2514,126
2515,2
2516,67
2517,0
2518,35
2519,0
2520,7
2521,1120
2522,0
2523,30
2524,0
2525,0
2526,0
2527,0
2528,0
2529,0
2530,0
2531,64
2532,0
2533,7
2534,11
2535,59
2536,11
2537,0
2538,47
2539,3
2540,0
2541,0
2542,0
2543,0
2544,0
2545,0
2546,0
2547,0
2548,2
2549,0
2550,0
2551,41
2552,4
2553,12
2554,0
2555,0
2556,0
2557,0
2558,0
2559,0
2560,108
2561,0
2562,39
2563,12
2564,3254
2565,9
2566,22
2567,4
2568,0
2569,0
2570,0
2571,45
2572,6
2573,11
2574,0
2575,0
2576,0
2577,0
2578,21
2579,62
2580,0
2581,0
2582,0
2583,0
2584,0
2585,1652
2586,58
2587,0
2588,0
2589,388
2590,239
2591,23
2592,88
2593,0
2594,36
2595,74
2596,11
2597,17
2598,0
2599,0
2600,0
2601,0
2602,0
2603,0
2604,0
2605,0
2606,0
2607,0
2608,0
2609,0
2610,0
2611,6180
2612,113257
2613,265
2614,270
2615,1771
2616,871
2617,57
2618,0
2619,0
2620,0
2621,33
2622,0
2623,529
2624,67
2625,274
2626,762
2627,16499
2628,16498
2629,140
2630,3188
2631,19564
2632,3144
2633,5110
2634,9814
2635,4077
2636,2
2637,0
2638,0
2639,16
2640,0
2641,10
2642,0
2643,0
2644,5
2645,0
2646,457
2647,14
2648,12
2649,5116
2650,55
2651,10530
2652,2068
2653,29
2654,7
2655,15
2656,459
2657,129
2658,6
2659,19300
2660,0
2661,0
2662,507
2663,4
2664,352
2665,96
2666,43
2667,72
2668,92
2669,306
2670,73
2671,51
2672,0
2673,285
2674,11
2675,3840
2676,27
2677,2988
2678,353
2679,219
2680,271
2681,119
2682,143
2683,159
2684,194
2685,85
2686,148
2687,70
2688,0
2689,219
2690,191
2691,4
2692,496
2693,212
2694,61
2695,206
2696,5437
2697,720
2698,2119
2699,639
2700,5419
2701,14513
2702,5372
2703,505
2704,19
2705,0
2706,0
2707,4
2708,260
2709,8
2710,14
2711,523
2712,314
2713,9692
2714,312
2715,9499
2716,90
2717,39
2718,14
2719,54
2720,12562
2721,0
2722,3
2723,6
2724,0
2725,3800
2726,66
2727,465
2728,315
2729,364
2730,89
2731,203
2732,400
2733,313
2734,3359
2735,273828
2736,460
2737,73
2738,27030
2739,2925
2740,37
2741,78
2742,7191
2743,48
2744,820
2745,16008
2746,0
2747,0
2748,13
2749,7
2750,233
2751,26
2752,16
2753,0
2754,17
2755,2
2756,3
2757,2
2758,10
2759,1642
2760,10
2761,144
2762,1288
2763,42
2764,41
2765,2606
2766,67
2767,0
2768,3
2769,638
2770,2305
2771,10
2772,1777
2773,12
2774,118
2775,3
2776,30
2777,29
2778,22
2779,71
2780,13
2781,0
2782,11
2783,0
2784,3
2785,0
2786,89
2787,0
2788,13
2789,2278
2790,37
2791,24
2792,0
2793,0
2794,14
2795,0
2796,0
2797,0
2798,7
2799,0
2800,23431
2801,0
2802,2540
2803,16
2804,25
2805,2942
2806,5
2807,78
2808,0
2809,188
2810,0
2811,0
2812,0
2813,0
2814,2749
2815,0
2816,0
2817,7
2818,6
2819,0
2820,8
2821,3001
2822,0
2823,3
2824,0
2825,44
2826,76
2827,26
2828,0
2829,104
2830,0
2831,0
2832,99
2833,265
2834,2
2835,0
2836,0
2837,0
2838,0
2839,0
2840,0
2841,0
2842,0
2843,202
2844,126
2845,1516
2846,12
2847,0
2848,186
2849,0
2850,0
2851,0
2852,0
2853,0
2854,0
2855,0
2856,0
2857,0
2858,51
2859,25006
2860,61
2861,0
2862,3788
2863,5
2864,215136
2865,0
2866,0
2867,13431
2868,69
2869,73
2870,0
2871,0
2872,0
2873,1908
2874,0
2875,22
2876,0
2877,226
2878,0
2879,0
2880,345
2881,46
2882,0
2883,5683
2884,0
2885,211
2886,86
2887,0
2888,0
2889,92
2890,15
2891,8
2892,0
2893,10
2894,0
2895,0
2896,117
2897,0
2898,49
2899,0
2900,251
2901,1459
2902,1080
2903,2059
2904,359
2905,1646
2906,2394
2907,4497
2908,168
